left_elbow_angle_period,right_elbow_angle_period,left_wrist_angle_period,right_wrist_angle_period,left_shoulder_angle_period,right_shoulder_angle_period,hip_angle_period,waist_angle_period,left_knee_angle_period,right_knee_angle_period,left_ankle_angle_period,right_ankle_angle_period,left_elbow_angle_power,right_elbow_angle_power,left_wrist_angle_power,right_wrist_angle_power,left_shoulder_angle_power,right_shoulder_angle_power,hip_angle_power,waist_angle_power,left_knee_angle_power,right_knee_angle_power,left_ankle_angle_power,right_ankle_angle_power
354.0,354.0,354.0,118.0,118.0,177.0,118.0,354.0,118.0,118.0,354.0,177.0,1188.950028760148,5009.64503406011,1225.0598998167654,32648.446063395964,1170.3390446529625,1035.7934381800833,7184.252632510276,1567.8704512272946,50389.80803676065,109061.18840262397,2373.8619986789327,6260.094118553726
118.0,118.0,118.0,118.0,118.0,59.0,118.0,35.4,118.0,118.0,118.0,118.0,737.7725814288116,6003.2768281372655,3061.0816705047387,7289.26283480865,656.2628661917156,278.4642316057653,12199.997929482308,161.12796548515456,112831.63256505504,213051.694439514,575.263239036889,4394.967306784835
354.0,118.0,118.0,118.0,354.0,354.0,118.0,354.0,118.0,118.0,118.0,118.0,49774.047427213554,24936.798020524813,1359.8755620203194,6437.395067686799,24154.56386160203,10003.045416918585,10438.403142254185,58.03189162271768,103394.52628331249,191951.85004906083,3103.764693829023,3651.291836675193
118.0,118.0,118.0,354.0,118.0,354.0,118.0,118.0,118.0,118.0,118.0,118.0,3268.5191635303554,3905.967840455162,1187.5853479477703,1200.202032103292,1881.9849791521497,581.1145385990607,11324.047599003667,767.3559296815447,136100.6465779625,272289.01906734216,2355.1999528571273,4659.102401081971
118.0,118.0,59.0,118.0,118.0,59.0,118.0,118.0,118.0,118.0,118.0,118.0,1560.6101823053723,5811.847405011631,697.5980031794676,1864.637902910797,1050.5926782530614,128.14899820112322,12389.265164578575,355.4797083572157,108453.03898494501,254294.77748951077,2543.7392818134354,6071.651672196932
50.57142857142858,118.0,59.0,118.0,118.0,88.5,118.0,118.0,118.0,118.0,118.0,118.0,333.5801285012538,5057.545870956904,1078.928815593586,1823.6224211345998,472.4875102478611,179.93069461405474,9964.10934115841,358.0759962507244,100521.78225730818,175031.3515026731,1689.1637985203597,4416.660148362609
354.0,118.0,118.0,354.0,354.0,177.0,177.0,177.0,177.0,354.0,88.5,177.0,24451.110557463006,5751.275706966893,722.354994053282,5520.017843279763,21457.720423294966,793.6478834120591,7180.254557301694,1136.8127217772956,41558.45726443628,187270.7774677619,1538.4043824993541,6985.198487397899
354.0,354.0,354.0,118.0,177.0,88.5,118.0,354.0,118.0,118.0,354.0,177.0,31338.771693321698,10206.829594401222,8173.090430482234,1503.9700485720327,3561.8132545700723,1104.2228707308716,11822.141053330248,761.2168628855718,74132.931095883,42384.03629545069,1183.7439398847964,4014.662049361633
118.0,118.0,118.0,118.0,118.0,118.0,118.0,50.57142857142858,118.0,118.0,70.8,118.0,3271.928715336042,3268.828037422637,2859.257135205872,2380.490143533996,1156.3460947002386,818.7088672227662,8841.352581019986,128.95004067877952,125334.27943178489,48530.45914273442,344.68016355349715,7792.110774736969
118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,177.0,118.0,3075.821664953436,2104.252177294051,3708.2486104259206,1173.7205052511492,842.3330219661786,842.3921165689197,8365.298005328235,218.00946420097964,110820.42444319594,36250.736365261124,210.53265785475284,5877.671161160978
118.0,88.5,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,5025.711757928093,1289.0361639102935,4228.21545422285,1547.2504070786185,1641.3769537146163,877.4240619611203,13788.571993787584,879.5890978033112,142316.86063139257,50581.126990311444,973.14233760413,2671.437403638892
118.0,35.4,118.0,32.18181818181819,118.0,118.0,118.0,118.0,118.0,118.0,354.0,118.0,4834.988769995121,962.2075473296146,2563.6162201585557,684.5155208089468,1749.3590585560032,545.2800951856597,10162.78748103893,499.23481704100334,126086.4786933909,51399.44999282838,401.9357913614339,9518.69115024558
118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,7533.957997986566,1667.6540699791115,2466.470442074239,1098.535435640103,1862.508796474412,1189.708146676842,11728.111280609224,242.39957981371717,162780.2589852962,55959.88193926194,782.5906372684669,12551.192634930303
177.0,354.0,118.0,354.0,177.0,354.0,354.0,354.0,354.0,354.0,354.0,118.0,31924.648477424926,272761.1309711981,1577.8206649549124,7370.816157791703,14131.15275678756,19628.008435472966,24849.3442467007,7894.077176308186,178722.24640559347,77760.49022549653,6357.0910679523895,3139.966713360645
118.0,118.0,50.57142857142858,354.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,35.4,3872.945111267941,2319.0381908507616,2351.995452858592,448.4626869115808,1301.492269900604,953.3164350875148,9609.65399206358,428.0994592796959,160248.6567333606,132088.4876411502,5700.233485798,5522.073402646576
177.0,354.0,177.0,354.0,177.0,354.0,118.0,118.0,118.0,118.0,354.0,354.0,5435.892230516659,28848.878214568726,2925.706040578902,3682.716087457778,2303.733599623454,27956.63948126799,19541.997410252836,1137.604791881436,168928.82389238893,161410.35578699913,14777.764402879733,2366.755887642685
118.0,118.0,59.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,10225.805847496951,16123.702292444024,5553.221121859284,6255.0618478661645,815.4212236536156,1587.8505165827344,25276.389192591967,391.1247489461082,154352.30063624473,174378.32096117488,6123.494775097482,979.1437891104533
118.0,118.0,50.57142857142858,118.0,35.4,118.0,118.0,118.0,118.0,118.0,118.0,118.0,16732.01889221782,13771.010217107685,5188.371507972251,5578.157717118636,75.8343189619819,972.3055843784861,27829.898217380927,341.50745218557273,147897.8111048731,157860.56038485598,7688.300083713025,352.8391746502475
118.0,118.0,50.57142857142858,118.0,50.57142857142858,118.0,118.0,118.0,118.0,118.0,118.0,118.0,13528.701612772054,11362.70226472374,7567.912977520329,4773.421240195846,226.42323374893567,825.1586679163049,25180.992007039287,347.24604465234876,123362.66373081558,129260.57780399735,9879.518775493309,356.2097356981502
118.0,118.0,50.57142857142858,118.0,118.0,118.0,118.0,118.0,118.0,118.0,50.57142857142858,88.5,7657.32649289213,12529.442570886416,5677.854428556079,7039.501137080644,756.6403528733168,1397.2604035254687,19301.923675746042,328.4648054608651,112406.08071159436,125463.24972912522,8290.17461266998,522.5367763646707
118.0,118.0,59.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,10777.79712911239,12270.14619256273,5759.254811913505,5919.72931201103,1375.6050551226692,1311.7255088732188,25000.21186055415,235.1977997718608,142845.0787531962,160053.75787843307,8789.039197140008,1486.4235370141257
88.5,354.0,70.8,88.5,354.0,177.0,88.5,354.0,177.0,354.0,88.5,354.0,10140.562567847517,45879.88302778974,2005.115496566466,1046.0951917690604,2288.094205353631,20534.792971610244,10649.21930915052,11147.237506454741,46306.93452454373,113349.50728698797,9322.08177154969,33021.37299698816
118.0,177.0,118.0,118.0,354.0,177.0,354.0,177.0,118.0,118.0,118.0,177.0,2745.976020933261,16461.676045154323,1964.746473379114,8963.033006540052,659.8718749421897,5391.674852378184,8350.249552908854,1093.696997145494,81810.45382988128,56586.47890781656,1142.9129729356346,2564.5085523196744
354.0,354.0,88.5,177.0,354.0,354.0,118.0,118.0,118.0,118.0,118.0,118.0,4495.7396335872,6978.565277921525,3398.0412364082995,6831.575524413926,6262.872019278676,18960.363671186595,5100.748935787057,153.67262878342956,116139.23248068301,87646.63970435329,2211.885956182343,2907.810046156029
118.0,118.0,177.0,354.0,50.57142857142858,118.0,118.0,118.0,118.0,118.0,118.0,118.0,4754.962388660407,2090.7100734402743,1396.8573683930229,2173.6425615556927,550.2613462217895,569.1137736490305,10286.340365062762,325.54901218076543,175353.485761209,133344.4436590503,4280.7867178043725,5156.469187180484
118.0,118.0,59.0,177.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,4393.644917063433,2567.1256242896584,2424.4036349299618,477.36996025541845,769.6246106319809,620.3420099098316,12612.750445326456,250.8744228140047,187801.31877357035,156406.86623450596,5500.362106130267,11638.431496694659
118.0,118.0,32.18181818181819,118.0,59.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,1956.0806569764293,1692.804951807781,1002.2232742550359,725.2082643369243,430.23526742920905,594.3876969361274,9150.15391472309,201.66021431735325,204108.1266731486,164757.37109164573,9280.407045406682,5457.052216290251
